,tags,changeset,version,id,lon,timestamp,lat,name,office,geometry,osm_type
0,"{'name': 'Croce Rossa Italiana - Comitato di Cuneo', 'office': 'ngo'}",0,3,5003758321,7.53247,1616996662,44.373882,Croce Rossa Italiana - Comitato di Cuneo,ngo,POINT (7.532470226287842 44.37388229370117),node
1,"{'name': 'Croce Rossa Italiana - Comitato Provincia Granda', 'office': 'ngo'}",0,1,8570559193,7.5321918,1616996662,44.373974,Croce Rossa Italiana - Comitato Provincia Granda,ngo,POINT (7.532191753387451 44.37397384643555),node
