,tags,changeset,version,id,lon,timestamp,lat,addr:city,addr:housenumber,addr:postcode,addr:street,name,website,office,geometry,osm_type
0,"{'addr:city': 'Fino Mornasco', 'addr:housenumber': '57', 'addr:postcode': '22073', 'addr:street': 'Viale Risorgimento', 'name': 'Space Renaissance International', 'office': 'ngo', 'website': 'http://spacerenaissance.org/'}",0,1,4478880492,9.043532,1478169435,45.74737,Fino Mornasco,57,22073,Viale Risorgimento,Space Renaissance International,http://spacerenaissance.org/,ngo,POINT (9.043532371520996 45.747371673583984),node
1,"{'addr:city': 'Como', 'addr:housenumber': '5', 'addr:postcode': '22100', 'addr:street': 'Via Filippo Turati', 'name': 'Lega dei centri culturali turchi', 'office': 'ngo'}",0,1,8780879402,9.088479,1622376631,45.78935,Como,5,22100,Via Filippo Turati,Lega dei centri culturali turchi,,ngo,POINT (9.088479042053223 45.78934860229492),node
