,tags,changeset,version,id,lon,timestamp,lat,addr:city,addr:housenumber,addr:street,name,office,geometry,osm_type
0,"{'name': 'Associazione Sub Verbania', 'office': 'ngo'}",0,2,3941166472,8.542269,1589380751,45.928677,,,,Associazione Sub Verbania,ngo,POINT (8.542268753051758 45.92867660522461),node
1,"{'addr:city': 'Campello Monti', 'addr:housenumber': '2', 'addr:street': 'Via La Gassa', 'name': 'Pro Loco Campello Monti', 'office': 'ngo'}",0,1,5099469725,8.236432,1505172572,45.935986,Campello Monti,2,Via La Gassa,Pro Loco Campello Monti,ngo,POINT (8.236432075500488 45.93598556518555),node
