,tags,lat,timestamp,changeset,id,version,lon,addr:city,addr:housenumber,addr:postcode,addr:street,name,opening_hours,phone,website,office,geometry,osm_type
0,,39.815254,1468084199,0.0,4293360135,1,16.199387,Castrovillari,,87012,Piazza Giovanni XXIII,Coldiretti,,,,ngo,POINT (16.199386596679688 39.81525421142578),node
1,,39.80999,1468138434,0.0,4294185282,1,16.205969,Castrovillari,230,87012,Corso Giuseppe Garibaldi,Misericordia,,,,ngo,POINT (16.205968856811523 39.80998992919922),node
2,,39.80997,1468138434,0.0,4294185284,1,16.206009,Castrovillari,244,87012,Corso Giuseppe Garibaldi,Casa di accoglienza,,,,ngo,POINT (16.206008911132812 39.80997085571289),node
3,"{""addr:unit"":""primo piano"",""opening_hours:covid19"":""same""}",39.297573,1633527469,0.0,9152243264,1,16.252392,Cosenza,14,87100,Via Degli Alimena Bernardino,Confcommercio Calabria,Mo-Fr 09:00-17:00,+39098477181,www.confcommerciocalabria.it,ngo,POINT (16.252391815185547 39.29757308959961),node
4,"{""addr:unit"":""primo piano"",""opening_hours:covid19"":""same""}",39.297512,1633527373,0.0,9152274665,1,16.252415,Cosenza,14,87100,Via Degli Alimena Bernardino,Confcommercio Cosenza,Mo-Fr 09:00-17:00,+39098477181,"www,confcommerciocosenza.it",ngo,POINT (16.25241470336914 39.29751205444336),node
5,"{""addr:unit"":""primo piano"",""opening_hours:covid19"":""same""}",39.297985,1635091025,0.0,9152307029,3,16.25229,Cosenza,14,87100,Via Degli Alimena Bernardino,Confcommercio Cosenza,Mo-Fr 09:00-17:00,+39098477181,https://confcommerciocosenza.it/,ngo,POINT (16.252290725708008 39.2979850769043),node
6,"{""addr:unit"":""primo piano"",""opening_hours:covid19"":""same""}",39.297977,1633528394,0.0,9152310085,1,16.252295,Cosenza,14,87100,Via Degli Alimena Bernardino,Confcommercio Calabria,Mo-Fr 09:00-18:00,+39098477181,www.confcommerciocalabria.it,ngo,POINT (16.252294540405273 39.297977447509766),node
7,"{""building"":""yes""}",,1547310469,,662669435,1,,,,,,,,,,ngo,"POLYGON ((15.7867978 39.8158292, 15.7869161 39.8158577, 15.7869617 39.815728, 15.7868451 39.8157137, 15.7867978 39.8158292))",way
