,tags,changeset,version,id,lon,timestamp,lat,addr:city,addr:housenumber,addr:postcode,addr:street,name,website,office,geometry,osm_type
0,"{'name': 'Associazione Sportiva Dilettantistica Oasi Boschetto', 'office': 'ngo'}",0.0,2,3074999760,10.734813,1586890095,45.12949,,,,,Associazione Sportiva Dilettantistica Oasi Boschetto,,ngo,POINT (10.73481273651123 45.12948989868164),node
1,"{'addr:city': 'Castiglione delle Stiviere', 'addr:housenumber': '64', 'addr:postcode': '46043', 'addr:street': 'Via Ghisiola', 'name': 'Croce Rossa Italiana - Comitato di Castiglione delle Stiviere', 'office': 'ngo', 'website': 'http://www.cricastiglione.it/'}",0.0,1,6567079352,10.500663,1561357963,45.404964,Castiglione delle Stiviere,64,46043,Via Ghisiola,Croce Rossa Italiana - Comitato di Castiglione delle Stiviere,http://www.cricastiglione.it/,ngo,POINT (10.500662803649902 45.404964447021484),node
2,,,4,303176425,,1586890095,,,,,,Associazione Sportiva Dilettantistica Oasi Boschetto,,ngo,"POLYGON ((10.7365333 45.1319137, 10.7368599 45.131791, 10.736821 45.1316996, 10.7388679 45.1308496, 10.7376501 45.1293964, 10.7375724 45.129305, 10.7371778 45.1292446, 10.7370033 45.1292094, 10.7366993 45.1291602, 10.73646 45.1291215, 10.7362307 45.129118, 10.7358469 45.1291426, 10.7355877 45.1291918, 10.7352687 45.1293149, 10.7348126 45.1294883, 10.735661 45.1304927, 10.7345607 45.1309403, 10.7350028 45.1314859, 10.7350661 45.1315636, 10.7356854 45.132308, 10.7365333 45.1319137))",way
