,tags,changeset,version,id,lon,timestamp,lat,addr:city,addr:postcode,addr:street,name,office,geometry,osm_type
0,"{'addr:city': 'Bagni San Filippo', 'addr:postcode': '53023', 'addr:street': 'Via San Filippo', 'name': 'ProLoco di Bagni San Filippo', 'office': 'ngo'}",0,1,3069734780,11.7019,1410331293,42.929184,Bagni San Filippo,53023,Via San Filippo,ProLoco di Bagni San Filippo,ngo,POINT (11.701899528503418 42.92918395996094),node
1,"{'name': 'Consorzio Agrario Siena', 'office': 'ngo'}",0,1,7173156429,11.162601,1580416069,43.414925,,,,Consorzio Agrario Siena,ngo,POINT (11.162601470947266 43.41492462158203),node
