,changeset,lon,id,timestamp,lat,tags,version,addr:city,addr:country,addr:housenumber,addr:postcode,addr:place,addr:street,email,name,opening_hours,operator,phone,url,website,amenity,drinking_water,fountain,ice_cream,source,start_date,wikipedia,geometry,osm_type,addr:housename,building,building:levels,gambling,internet_access
280,,,88343549,1291716770,,,1,,,,,,,,,,,,,,fountain,,,,,,,"POLYGON ((7.5682763 45.014458, 7.568239 45.0144598, 7.5682087 45.0144521, 7.5681871 45.0144368, 7.5681719 45.0144208, 7.5681579 45.0143955, 7.5681525 45.0143741, 7.5681351 45.0143542, 7.5681103 45.014342, 7.568081 45.0143389, 7.5680518 45.0143458, 7.5680334 45.0143566, 7.5680237 45.0143772, 7.5680269 45.0143978, 7.5680421 45.0144208, 7.5680659 45.0144407, 7.5680919 45.0144475, 7.5681265 45.014456, 7.5681492 45.0144697, 7.5681644 45.0144873, 7.5681665 45.0145034, 7.56816 45.0145179, 7.5680821 45.0145539, 7.5680507 45.0145531, 7.5680215 45.0145592, 7.5679977 45.0145738, 7.5679837 45.0145913, 7.5679804 45.0146174, 7.5679891 45.0146349, 7.5680064 45.0146525, 7.568041 45.0146655, 7.56808 45.0146671, 7.5681092 45.0146617, 7.568133 45.0146434, 7.568146 45.0146258, 7.5681525 45.0146074, 7.5682648 45.0145639, 7.5682844 45.0145812, 7.568329 45.0146013, 7.568377 45.0146069, 7.5684271 45.0145987, 7.5684707 45.0145755, 7.5684956 45.014544, 7.5685005 45.0145047, 7.5684895 45.0144783, 7.5684614 45.0144508, 7.5684239 45.0144334, 7.568363 45.0144265, 7.5683229 45.0144336, 7.5682763 45.014458))",way,,,,,
281,,,104339324,1588413379,,,4,,,,,,,,C.S.O.A. Askatasuna,,,,,http://www.csoaskatasuna.org,community_centre,,,,,,,"POLYGON ((7.6994044 45.0712453, 7.6992862 45.0710708, 7.6991453 45.0711203, 7.6991551 45.0711348, 7.6990647 45.0711651, 7.6990335 45.0711186, 7.6989225 45.0711578, 7.6990573 45.0713623, 7.6991723 45.0713246, 7.6994044 45.0712453))",way,,yes,,,
282,,,106333267,1577039763,,,3,,,,,,,,,,,,,,fountain,,,,,,,"POLYGON ((7.6391243 45.050822, 7.6391078 45.0508095, 7.6390992 45.0507973, 7.6390985 45.0507779, 7.6391082 45.0507614, 7.6391166 45.0507474, 7.6391359 45.0507315, 7.639155 45.0507214, 7.6391752 45.0507178, 7.6392005 45.0507187, 7.6392151 45.050724, 7.6392256 45.0507328, 7.6392336 45.0507491, 7.6392332 45.0507642, 7.6392291 45.0507785, 7.6392201 45.0507934, 7.6392066 45.050807, 7.6391913 45.0508162, 7.6391663 45.0508252, 7.6391445 45.0508269, 7.6391243 45.050822))",way,,,,,
283,,,111499553,1588415907,,"{""tourism"":""attraction"",""wheelchair"":""yes"",""wikidata"":""Q183202""}",21,,,,,,,,Teatro Regio,,,,,,theatre,,,,,,it:Teatro Regio (Torino),"POLYGON ((7.6876283 45.0711494, 7.6878219 45.0710794, 7.6877627 45.070995, 7.6877409 45.0709638, 7.6876888 45.0708965, 7.6877866 45.0708617, 7.687797 45.0708762, 7.6877956 45.0708819, 7.6878018 45.0708867, 7.6878122 45.0708902, 7.6878211 45.070891, 7.6878353 45.0708897, 7.6878468 45.0708877, 7.6878813 45.0708785, 7.6878957 45.0708725, 7.68791 45.0708639, 7.6879388 45.0708388, 7.6879653 45.0708126, 7.6879995 45.0707806, 7.6880136 45.0707712, 7.6880303 45.0707643, 7.6880643 45.0707513, 7.6881362 45.0707487, 7.688224 45.0707374, 7.6882738 45.0707278, 7.6883149 45.0707185, 7.6883868 45.0706993, 7.6884405 45.0706822, 7.6884891 45.0706645, 7.688544 45.0706428, 7.6885928 45.0706233, 7.6886437 45.0706013, 7.6886801 45.0705834, 7.6887502 45.0705459, 7.6886303 45.0703758, 7.6883792 45.0700192, 7.6882761 45.0700457, 7.6882323 45.0700582, 7.6881928 45.0700708, 7.688166 45.0700785, 7.6881368 45.0700892, 7.6880833 45.070109, 7.6879484 45.0701629, 7.6879103 45.0701811, 7.6878745 45.0702003, 7.6878355 45.070226, 7.6877906 45.0702578, 7.6877487 45.0702889, 7.6877342 45.0702981, 7.6877181 45.0703061, 7.6876952 45.0703123, 7.6876779 45.0703144, 7.6876369 45.0703161, 7.687511 45.0703205, 7.6874962 45.0703223, 7.6874749 45.0703283, 7.6874309 45.0703465, 7.6874219 45.0703518, 7.6874199 45.0703542, 7.6874209 45.0703581, 7.6874284 45.0703611, 7.6874603 45.0704058, 7.6873259 45.0704548, 7.6872965 45.0704098, 7.6872445 45.0704277, 7.6871972 45.070444, 7.6871493 45.0704604, 7.6871907 45.0705186, 7.6871967 45.0705166, 7.6876082 45.0711019, 7.687611 45.0711253, 7.6876283 45.0711494))",way,,theatre,,,
284,,,116306331,1628380152,,"{""artist_name"":""Giuseppe Penone""}",5,,,,,,,,"""Disegno d'Acqua""",,,,,,fountain,,,,,,,"POLYGON ((7.624517 45.1363286, 7.6247488 45.1362638, 7.6246036 45.1360039, 7.6243725 45.1360714, 7.624517 45.1363286))",way,,,,,
285,,,116315741,1577354596,,,3,,,,,,,,Fontana del Cervo,,,,,,fountain,,,,,,,"POLYGON ((7.6240302 45.1357188, 7.6240155 45.1356942, 7.6240074 45.1356602, 7.6240088 45.135629, 7.6240168 45.1356025, 7.6240343 45.135575, 7.6240584 45.1355485, 7.6240906 45.135524, 7.6241241 45.1355012, 7.6241603 45.1354833, 7.6241992 45.1354681, 7.6242421 45.1354587, 7.6242877 45.1354492, 7.6243387 45.1354464, 7.6243794 45.1354468, 7.6244312 45.1354539, 7.6244768 45.1354691, 7.6245184 45.1354861, 7.6245519 45.1355117, 7.6245747 45.135541, 7.6245895 45.1355817, 7.6245854 45.1356214, 7.624572 45.1356564, 7.6245412 45.1356952, 7.6245144 45.1357188, 7.6244715 45.1357472, 7.6244245 45.135769, 7.6243682 45.135786, 7.6243105 45.1357945, 7.6242533 45.1357976, 7.6241965 45.1357945, 7.6241482 45.1357851, 7.6241094 45.1357718, 7.6240718 45.1357557, 7.6240436 45.1357378, 7.6240302 45.1357188))",way,,,,,
286,,,122242025,1311078393,,,1,,,,,,,,,,,,,,fountain,,,,,,,"POLYGON ((7.6675104 45.1005787, 7.667517 45.1005444, 7.6675279 45.1005332, 7.6676732 45.1005758, 7.667669 45.1005815, 7.6676777 45.1005835, 7.6676865 45.1005827, 7.667691 45.10058, 7.6676963 45.1005773, 7.667697 45.1005714, 7.6676949 45.1005657, 7.6676893 45.1005625, 7.6676805 45.1005603, 7.6676763 45.1005652, 7.6675402 45.1005232, 7.6675384 45.1005091, 7.6675685 45.1004819, 7.6675454 45.1004735, 7.6675111 45.1004725, 7.6674768 45.1004832, 7.6674547 45.1005027, 7.6674425 45.1005291, 7.6674558 45.1005541, 7.6674803 45.1005709, 7.6675104 45.1005787))",way,,,,,
287,,,122593512,1382266968,,,2,,,,,,,,,,,,,,fountain,,,,,,,"POLYGON ((7.6384701 45.0761983, 7.6384488 45.0761787, 7.6384183 45.0761684, 7.6383852 45.0761669, 7.6383541 45.0761759, 7.6383329 45.076191, 7.6383173 45.0762137, 7.6383205 45.0762316, 7.6383078 45.0762327, 7.6383303 45.0763607, 7.6383437 45.0763595, 7.638347 45.0763785, 7.6383691 45.076399, 7.6383971 45.0764086, 7.6384301 45.0764124, 7.6384646 45.0764026, 7.6384863 45.0763871, 7.6384995 45.0763643, 7.638496 45.0763455, 7.6385114 45.0763441, 7.6384875 45.0762162, 7.6384737 45.0762175, 7.6384701 45.0761983))",way,,,,,
288,,,124165222,1322580560,,,2,,,,,,,,Bingo Margherita,,,,,,gambling,,,,,,,"POLYGON ((7.5516105 45.0029111, 7.5513468 45.0024436, 7.5509618 45.0025522, 7.5512255 45.0030197, 7.5516105 45.0029111))",way,,yes,,Bingo,
289,,,124185230,1378897521,,,2,,,,,,,,Sala Valdese,,,,,,theatre,,,,,,,"POLYGON ((7.2400369 44.8987197, 7.2402055 44.8986677, 7.2400973 44.8984917, 7.2399287 44.8985437, 7.2400369 44.8987197))",way,,,,,
