,name,id,timestamp,version,tags,osm_type,geometry
0,,531033139,1507470826,1,"{""industrial"":""factory"",""landuse"":""industrial""}",way,"POLYGON ((9.4523822 45.9477984, 9.4524452 45.9479579, 9.4525847 45.9481556, 9.4529133 45.9486199, 9.4531694 45.9485836, 9.453223 45.9485239, 9.4538587 45.9483206, 9.45384 45.9480073, 9.4537434 45.9476268, 9.4523822 45.9477984))"
1,,780630221,1584130959,4,"{""industrial"":""factory"",""landuse"":""industrial""}",way,"POLYGON ((9.407865 46.1449747, 9.4084011 46.1450515, 9.4085244 46.1446033, 9.4088263 46.1446545, 9.4086045 46.1450772, 9.4092379 46.1451838, 9.4096746 46.1443231, 9.411134 46.144493, 9.4113077 46.1445223, 9.4113077 46.1446228, 9.4116758 46.1446915, 9.4115909 46.1444413, 9.4114458 46.1443187, 9.4112228 46.1441594, 9.4109361 46.1440343, 9.4107202 46.1439828, 9.4104265 46.1439436, 9.4082322 46.1438161, 9.407865 46.1449747))"
2,,821481743,1593525043,1,"{""industrial"":""factory"",""landuse"":""industrial""}",way,"POLYGON ((9.2888635 45.7830369, 9.2905482 45.7820546, 9.2914471 45.781482, 9.2919922 45.7812302, 9.2909092 45.779616, 9.2905011 45.7790659, 9.289763 45.7780574, 9.2893565 45.7774735, 9.2890145 45.7770931, 9.2888265 45.7765559, 9.2887279 45.7765086, 9.2885893 45.776528, 9.2879669 45.7766053, 9.2877112 45.7766182, 9.2875756 45.777265, 9.288161 45.7774541, 9.2882196 45.7778581, 9.2883151 45.778088, 9.2883952 45.778174, 9.2885123 45.7782191, 9.2888173 45.7783567, 9.2890422 45.7787843, 9.2888789 45.7790658, 9.2885246 45.7801101, 9.2883613 45.7807182, 9.2879515 45.7814466, 9.2882781 45.7819881, 9.2888635 45.7830369))"
3,Zona Industriale Rogeno - Calvenzana,830073742,1602674997,5,"{""industrial"":""factory"",""landuse"":""industrial""}",way,"POLYGON ((9.2744071 45.7759581, 9.274206 45.7765982, 9.2754254 45.7764666, 9.2755636 45.7772996, 9.2761419 45.7774223, 9.2771476 45.7772645, 9.2774619 45.7774662, 9.2779229 45.7772782, 9.2775859 45.7769245, 9.2777295 45.7768971, 9.2779711 45.7768509, 9.278031 45.7768369, 9.2781558 45.7767915, 9.2783969 45.7767037, 9.278592 45.7766295, 9.278858 45.7765283, 9.2788158 45.7763593, 9.2789027 45.7762585, 9.2789919 45.7762141, 9.2791542 45.7761648, 9.2793979 45.7762913, 9.2799384 45.776151, 9.2805544 45.7759669, 9.2808938 45.7758967, 9.281271 45.7760019, 9.2815724 45.7761406, 9.2818718 45.7762755, 9.2821022 45.7765422, 9.2831203 45.7759831, 9.283945 45.7757453, 9.2842445 45.775771, 9.2839275 45.7750931, 9.2836016 45.774841, 9.2834672 45.7747371, 9.283217 45.774451, 9.2832471 45.7742416, 9.2825116 45.7738596, 9.2823818 45.7737921, 9.2823065 45.773753, 9.2822352 45.7737235, 9.2820775 45.7736583, 9.2819198 45.7735931, 9.2817663 45.7735296, 9.2816582 45.7734849, 9.281608 45.7734641, 9.2815523 45.7734411, 9.2814486 45.7733587, 9.2814396 45.7732955, 9.2814401 45.7732395, 9.281449 45.7731573, 9.2814517 45.7730691, 9.2814459 45.7729365, 9.2812404 45.7728531, 9.2806182 45.7726007, 9.280035 45.7723641, 9.2796455 45.7723642, 9.2795428 45.7722988, 9.2793323 45.7723568, 9.2789376 45.7723395, 9.2789007 45.7723642, 9.2788391 45.7724053, 9.2787271 45.7724802, 9.278812 45.7727029, 9.2781438 45.7730063, 9.2781034 45.7731045, 9.2778536 45.7737112, 9.2777736 45.7742765, 9.2778736 45.7746324, 9.2782139 45.7748628, 9.2779437 45.7750442, 9.2782239 45.7752815, 9.2773033 45.7758119, 9.2765728 45.775121, 9.2744071 45.7759581))"
