,name,id,timestamp,version,tags,osm_type,geometry
0,Artigiani Pastai Bondi,167023509,1513811990,2,"{""building"":""industrial"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",way,"POLYGON ((11.5868743 44.8477702, 11.5868969 44.8478485, 11.586913 44.8479046, 11.5869558 44.848053, 11.5869816 44.8481426, 11.5870194 44.8481371, 11.5870492 44.8482406, 11.5872869 44.848206, 11.5873082 44.8482029, 11.5871693 44.8477203, 11.5869658 44.8477499, 11.5869793 44.8477968, 11.5869249 44.8478047, 11.5869134 44.8477646, 11.5868743 44.8477702))"
1,Artigiani Pastai Bondi,167025018,1513811990,2,"{""building"":""industrial"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",way,"POLYGON ((11.5867616 44.8480813, 11.5868554 44.8484072, 11.5869502 44.8483933, 11.586912 44.8482606, 11.5870492 44.8482406, 11.5870194 44.8481371, 11.5869816 44.8481426, 11.5869558 44.848053, 11.5867616 44.8480813))"
