,addr:city,addr:housenumber,addr:street,name,operator,id,timestamp,version,tags,osm_type,geometry
0,,,,Robustellini,Robustellini s.r.l.,743803760,1573386004,2,"{""building"":""industrial"",""industrial"":""factory""}",way,"POLYGON ((9.4354736 46.1749588, 9.4356923 46.1751634, 9.4361541 46.1749273, 9.436193 46.1749618, 9.4362202 46.1749468, 9.4362611 46.1749833, 9.4362835 46.1749713, 9.4363577 46.1750415, 9.4365902 46.174922, 9.4364381 46.1747801, 9.4363827 46.1747282, 9.4365027 46.1746579, 9.4364584 46.1746094, 9.43635 46.1745849, 9.436274 46.1746265, 9.4362203 46.1745762, 9.4354736 46.1749588))"
1,Cercino,4,Via Mulada,Officine Nicola Galperti e Figlio S.p.A. - Reparto di Forgia II,,793400717,1642978422,2,"{""industrial"":""factory"",""landuse"":""industrial""}",way,"POLYGON ((9.5105648 46.1463023, 9.5115255 46.1485346, 9.5090972 46.1490835, 9.5086285 46.1480804, 9.5078532 46.1475475, 9.5080251 46.1474686, 9.5105648 46.1463023))"
