,lat,timestamp,changeset,lon,id,version,tags,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,name,geometry,osm_type
79,,1564480541,,,186644075,5,"{""building"":""industrial"",""building:level"":""1"",""factory"":""tile"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,Ceramica Marazzi,"POLYGON ((10.8299688 44.5382164, 10.8300547 44.5385537, 10.8297412 44.538595, 10.8298939 44.5392414, 10.8300058 44.5392155, 10.8301102 44.5395384, 10.8302877 44.5395164, 10.8303257 44.5396347, 10.8306318 44.5395954, 10.8306432 44.5396411, 10.8307437 44.5396283, 10.8307317 44.5395802, 10.8310337 44.5395418, 10.8310448 44.5395866, 10.8311719 44.5395704, 10.831161 44.5395266, 10.8314107 44.5394948, 10.8314203 44.5395332, 10.8315204 44.5395205, 10.831515 44.539499, 10.8316796 44.539478, 10.8316867 44.5395065, 10.8318029 44.5394918, 10.8317929 44.5394514, 10.8318301 44.5394467, 10.8318397 44.539485, 10.8319291 44.5394736, 10.8319177 44.539428, 10.8319647 44.539422, 10.8319876 44.5395141, 10.8314289 44.5395852, 10.8314216 44.5395556, 10.8311936 44.5395846, 10.8312013 44.5396153, 10.8305912 44.5396928, 10.8302739 44.5397331, 10.8302952 44.5398189, 10.8303494 44.539812, 10.8306996 44.5412213, 10.8317541 44.5410872, 10.831617 44.5405354, 10.831711 44.5405235, 10.8316848 44.5404182, 10.8315447 44.5404361, 10.8315323 44.5403862, 10.8319295 44.5403357, 10.831973 44.5405106, 10.8321193 44.5404921, 10.8321533 44.5406291, 10.8318272 44.5406705, 10.8318815 44.5408891, 10.8318168 44.5408973, 10.8318355 44.5409724, 10.8318988 44.5409644, 10.8320254 44.541474, 10.8322758 44.5414422, 10.8322842 44.5414762, 10.8331553 44.5413655, 10.8330818 44.5410698, 10.8329707 44.5410839, 10.8329338 44.5409356, 10.83289 44.5407591, 10.8328822 44.5407279, 10.8330093 44.5407117, 10.8329916 44.540631, 10.8329513 44.540498, 10.83302 44.5404873, 10.8328819 44.5399316, 10.8330165 44.5399144, 10.8329447 44.5396256, 10.8327986 44.5396441, 10.832651 44.5390348, 10.8328469 44.5390153, 10.8328142 44.5388528, 10.8325578 44.5388748, 10.8325378 44.5388003, 10.8326329 44.5387774, 10.832519 44.5383191, 10.8324719 44.538325, 10.8324637 44.5382919, 10.8326881 44.5382634, 10.8326814 44.5382458, 10.8326248 44.5380289, 10.8327287 44.538015, 10.8330326 44.5379764, 10.832912 44.5374911, 10.8322153 44.5375797, 10.8322226 44.5376628, 10.8305318 44.5379025, 10.8305941 44.5381415, 10.8299688 44.5382164))",way
80,,1380109126,,,186644098,3,"{""building"":""industrial"",""building:level"":""1"",""factory"":""automation"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,System spa,"POLYGON ((10.8208029 44.5549319, 10.8209166 44.5550739, 10.8213062 44.5555608, 10.8213622 44.5556307, 10.8214863 44.5555799, 10.8217281 44.5554809, 10.8217952 44.5555642, 10.8218855 44.5555273, 10.8220074 44.5554775, 10.821941 44.5553942, 10.8218805 44.5553192, 10.821751 44.5551564, 10.8213818 44.5546953, 10.8208029 44.5549319))",way
81,,1381216607,,,186644102,2,"{""building"":""industrial"",""building:level"":""1"",""factory"":""ceramic paint"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,Smaltochimica,"POLYGON ((10.8357188 44.540246, 10.8360951 44.5402419, 10.8361739 44.5402411, 10.8361707 44.5400878, 10.8361701 44.5400619, 10.836246 44.540061, 10.8362419 44.5398666, 10.835711 44.5398723, 10.835585 44.5398737, 10.8355928 44.5402473, 10.8356595 44.5402466, 10.8357188 44.540246))",way
82,,1365331725,,,186644123,3,"{""building"":""industrial"",""building:level"":""1"",""factory"":""tile"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,Emil Ceramica,"POLYGON ((10.8074789 44.5477082, 10.8075084 44.5482965, 10.808783 44.5482636, 10.8098503 44.548236, 10.8098429 44.548092, 10.8103143 44.5480798, 10.8103067 44.5479303, 10.8103066 44.5479276, 10.8102891 44.5475765, 10.8086434 44.5476184, 10.8078412 44.5476391, 10.8078443 44.5476989, 10.8074789 44.5477082))",way
83,,1381216607,,,186644168,2,"{""building"":""industrial"",""building:level"":""1"",""factory"":""ceramic paint"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,Smaltochimica,"POLYGON ((10.8356816 44.5393442, 10.8356881 44.5394079, 10.8361367 44.5393845, 10.8364434 44.5393684, 10.8364229 44.5391682, 10.8364201 44.5391401, 10.8357292 44.5391762, 10.8357324 44.5392083, 10.8355308 44.5392188, 10.8355352 44.5392617, 10.835558 44.5392606, 10.8355627 44.5393072, 10.8355671 44.5393502, 10.8356816 44.5393442))",way
84,,1364966817,,,186644196,2,"{""building"":""industrial"",""factory"":""tile"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,Emil Ceramica,"POLYGON ((10.808554 44.5463619, 10.8087711 44.5463638, 10.808805 44.5463641, 10.8088053 44.546372, 10.808831 44.5463723, 10.8090123 44.5463744, 10.8090107 44.5464256, 10.8091256 44.5464266, 10.8091271 44.5463495, 10.8091641 44.54635, 10.8091685 44.5461339, 10.8085593 44.5461272, 10.808554 44.5463619))",way
85,,1365331727,,,186644212,2,"{""building"":""industrial"",""building:level"":""1"",""factory"":""tile"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,Savoia Italia,"POLYGON ((10.8080534 44.5520755, 10.8080817 44.5521793, 10.8081807 44.5525413, 10.8083088 44.5525229, 10.8082539 44.5523289, 10.8087541 44.552257, 10.8087423 44.5522153, 10.8086074 44.5522347, 10.8085767 44.5521261, 10.8086662 44.5521132, 10.8086305 44.5519871, 10.8083711 44.5520269, 10.8080534 44.5520755))",way
86,,1381216607,,,186644217,2,"{""building"":""industrial"",""building:level"":""1"",""factory"":""ceramic paint"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,Smaltochimica,"POLYGON ((10.8364229 44.5391682, 10.8364434 44.5393684, 10.8361367 44.5393845, 10.8361516 44.5395379, 10.8361529 44.5395511, 10.8357507 44.5395711, 10.8357556 44.5396209, 10.8364775 44.5395851, 10.8364845 44.5396759, 10.8366684 44.5396668, 10.8366542 44.5395203, 10.8366392 44.5393658, 10.8366971 44.5393651, 10.836695 44.5392834, 10.8366919 44.5391646, 10.8364229 44.5391682))",way
87,,1366094286,,,186644303,3,"{""building"":""industrial"",""building:level"":""1"",""factory"":""automation"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,DEF spa,"POLYGON ((10.8184005 44.5529199, 10.8182695 44.5526523, 10.8183226 44.552639, 10.8182317 44.5524531, 10.8182488 44.5524488, 10.8181461 44.5522388, 10.8180805 44.5522552, 10.8179958 44.5520819, 10.8176091 44.5521786, 10.8176637 44.5522904, 10.81764 44.5522963, 10.8176703 44.5524195, 10.8176402 44.5524253, 10.8176605 44.5525908, 10.8178845 44.5530489, 10.8184005 44.5529199))",way
88,,1380088370,,,186644307,5,"{""building"":""office"",""building:level"":""2"",""factory"":""serigraphics"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,SRS spa,"POLYGON ((10.8252765 44.5574904, 10.8251484 44.5575235, 10.825101 44.5574358, 10.8250381 44.5574522, 10.824318 44.5576394, 10.8242775 44.5575616, 10.8245182 44.5574976, 10.8246427 44.5574645, 10.8247738 44.5574297, 10.8249553 44.5573815, 10.8250211 44.557364, 10.8250472 44.5574142, 10.8251251 44.557393, 10.8251847 44.5574131, 10.8252406 44.557432, 10.8252765 44.5574904))",way
89,,1356440403,,,186644350,2,"{""building"":""industrial"",""factory"":""metal_construction"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,,"POLYGON ((10.8090591 44.5452438, 10.8090416 44.5452445, 10.8088343 44.5452525, 10.808841 44.5453401, 10.8088614 44.5453392, 10.8088656 44.5453994, 10.8088868 44.5453985, 10.8088907 44.5454507, 10.808895 44.5455086, 10.8091293 44.5454997, 10.8092633 44.5454947, 10.8093028 44.5454932, 10.8092997 44.5454527, 10.8092969 44.5454163, 10.8092831 44.5452363, 10.8090591 44.5452438))",way
90,,1394199641,,,186644354,3,"{""building"":""office"",""building:level"":""4"",""factory"":""tile"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,Ceramiche Piemme Spa,"POLYGON ((10.8354505 44.5372203, 10.8354582 44.5372578, 10.8356471 44.5372407, 10.8358528 44.5371541, 10.8358365 44.5371318, 10.8359788 44.5370785, 10.8360781 44.5372143, 10.8362192 44.5371615, 10.8362287 44.5371745, 10.8363128 44.537143, 10.8361416 44.5369089, 10.8360814 44.5369314, 10.8360725 44.5369192, 10.8359373 44.5369697, 10.8359281 44.5369571, 10.8356927 44.5370452, 10.8357062 44.5370761, 10.8354505 44.5372203))",way
91,,1380109126,,,186644356,5,"{""building"":""industrial"",""building:level"":""1"",""factory"":""automation"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,System spa,"POLYGON ((10.8215003 44.5546349, 10.8218769 44.5551049, 10.8220071 44.5552677, 10.8220636 44.5553388, 10.8221903 44.5552872, 10.822255 44.555368, 10.8222869 44.5554078, 10.8221587 44.5554599, 10.8222201 44.5555366, 10.8224081 44.5554599, 10.82235 44.5553857, 10.8223387 44.5553718, 10.8223158 44.5553436, 10.8222902 44.5553121, 10.8223362 44.5552932, 10.8225404 44.5552096, 10.8225592 44.555233, 10.8226983 44.5551762, 10.8226467 44.5551117, 10.8228643 44.5550227, 10.8222943 44.55431, 10.8215003 44.5546349))",way
92,,1366184581,,,186644363,3,"{""building"":""industrial"",""building:level"":""1"",""factory"":""mineral"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,META spa,"POLYGON ((10.8212587 44.5584425, 10.8216934 44.5583253, 10.8219777 44.5582486, 10.8224947 44.5592215, 10.8223703 44.5592551, 10.8223971 44.5593056, 10.8223195 44.5593266, 10.8222934 44.5592775, 10.8219814 44.5593617, 10.8218275 44.5590721, 10.8217264 44.5590994, 10.8215838 44.5588309, 10.8212099 44.5589318, 10.82111 44.5587438, 10.8209887 44.5585154, 10.8212587 44.5584425))",way
93,,1394199641,,,186644394,3,"{""building"":""industrial"",""building:level"":""1"",""factory"":""tile"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,Ceramiche Piemme S.p.a.,"POLYGON ((10.8354181 44.5382174, 10.835476 44.5385533, 10.8356492 44.538538, 10.8356601 44.5386013, 10.8357389 44.5390582, 10.8373838 44.5389131, 10.8373448 44.5386867, 10.8374298 44.5386792, 10.8374107 44.5385684, 10.8373246 44.538576, 10.8372889 44.5383688, 10.8373745 44.5383612, 10.8373011 44.5379358, 10.837458 44.5379219, 10.8374123 44.5376567, 10.8375999 44.5376402, 10.8375276 44.537221, 10.83734 44.5372375, 10.8366256 44.5373006, 10.8354708 44.5374025, 10.8356084 44.5382007, 10.8354181 44.5382174))",way
94,,1376140598,,,186644399,4,"{""building"":""industrial"",""factory"":""wood display, metal display, showrooms"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,Polcart spa,"POLYGON ((10.8115959 44.5454552, 10.8116032 44.5454885, 10.8116416 44.5456634, 10.8116578 44.545737, 10.8117356 44.5457289, 10.811765 44.5458734, 10.8116894 44.5458813, 10.8116998 44.5459287, 10.8117231 44.5460348, 10.8136074 44.5458232, 10.8135577 44.5455969, 10.8136604 44.5455854, 10.8135946 44.5452856, 10.8134846 44.545298, 10.8134709 44.5452356, 10.8130132 44.545287, 10.8129993 44.5452238, 10.8127397 44.5452529, 10.8127519 44.5453083, 10.8124628 44.5453408, 10.8124594 44.5453254, 10.8122111 44.5453533, 10.8122181 44.5453854, 10.8115959 44.5454552))",way
95,,1365099497,,,186644437,2,"{""building"":""industrial"",""factory"":""tile"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,FAP Ceramiche,"POLYGON ((10.8118554 44.5481227, 10.8121004 44.5495329, 10.8128455 44.5494568, 10.8131169 44.5494296, 10.813544 44.5493868, 10.8136863 44.5493725, 10.8138237 44.5493587, 10.814351 44.5493058, 10.8143014 44.5490494, 10.814096 44.5478847, 10.8139262 44.5478998, 10.8138355 44.5479079, 10.8138278 44.547863, 10.8135854 44.5478855, 10.8135959 44.5479432, 10.8133393 44.5479664, 10.8133574 44.548068, 10.8132256 44.5480802, 10.8130172 44.548099, 10.8123476 44.5481594, 10.8123314 44.5481609, 10.8123228 44.5481123, 10.8123169 44.5480791, 10.812119 44.5480955, 10.8118554 44.5481227))",way
96,,1365429842,,,186644446,2,"{""building"":""industrial"",""building:level"":""1"",""factory"":""brick"",""industrial"":""factory"",""source"":""Regione Emilia Romagna""}",,,,,,Forrnace Sila,"POLYGON ((10.8110827 44.5538357, 10.8112013 44.5540319, 10.8113002 44.5540013, 10.8113837 44.5539756, 10.8114175 44.5540313, 10.8114401 44.5540686, 10.8114917 44.5541336, 10.8115332 44.5542027, 10.8120554 44.5540414, 10.8120814 44.554095, 10.8119076 44.554149, 10.8119715 44.5542554, 10.8128156 44.5539945, 10.8127103 44.5538206, 10.8135427 44.5535637, 10.8136024 44.5536629, 10.8137474 44.5536184, 10.8137216 44.5535744, 10.814766 44.5532517, 10.814596 44.5529703, 10.8136833 44.5532526, 10.8135705 44.5530665, 10.8135107 44.553085, 10.8133138 44.5531459, 10.8110827 44.5538357))",way
