,name,website,id,timestamp,version,tags,osm_type,geometry,addr:city,addr:country,addr:housenumber,addr:street,changeset
0,Cartiera Mantovana Srl,,560131590,1518199419,1,"{""building"":""industrial"",""industrial"":""factory"",""landuse"":""industrial"",""layer"":""1""}",way,"POLYGON ((10.6969017 45.2165624, 10.6971714 45.2165638, 10.6971965 45.216564, 10.6971974 45.2164821, 10.6969026 45.2164806, 10.6969017 45.2165624))",,,,,
1,Cartiera Mantovana Srl,,560131591,1518199419,1,"{""building"":""industrial"",""industrial"":""factory"",""landuse"":""industrial""}",way,"POLYGON ((10.6966174 45.215801, 10.6967273 45.2158539, 10.6967768 45.2158029, 10.6966668 45.21575, 10.6966174 45.215801))",,,,,
2,Cartiera Mantovana Srl,,560131592,1518199420,1,"{""building"":""industrial"",""industrial"":""factory"",""landuse"":""industrial""}",way,"POLYGON ((10.696693 45.2157263, 10.6969286 45.2158462, 10.6969505 45.2158249, 10.6974121 45.2160598, 10.6976394 45.2158382, 10.6969422 45.2154834, 10.6967155 45.2157045, 10.696693 45.2157263))",,,,,
3,Cartiera Mantovana Srl,,560131593,1518199420,1,"{""building"":""industrial"",""industrial"":""factory"",""landuse"":""industrial""}",way,"POLYGON ((10.6969074 45.2166777, 10.6971702 45.2166791, 10.6971714 45.2165638, 10.6969017 45.2165624, 10.6969026 45.2164806, 10.6969029 45.2164498, 10.6970828 45.2164507, 10.6970854 45.2161994, 10.6968886 45.2161984, 10.696891 45.2159724, 10.6966025 45.2159709, 10.6965934 45.2168355, 10.6967459 45.2168363, 10.6967463 45.2167932, 10.6968656 45.2167939, 10.6968663 45.2167281, 10.6967317 45.2167274, 10.6967323 45.2166768, 10.6969074 45.2166777))",,,,,
4,Borsari E.C.,http://www.borsarigroup.com/,823444477,1594040391,1,"{""industrial"":""factory"",""landuse"":""industrial""}",way,"POLYGON ((11.1214739 44.9918386, 11.1214417 44.9916793, 11.1212915 44.9916413, 11.1211306 44.9909319, 11.1215651 44.9908978, 11.1215061 44.9905222, 11.120975 44.9905146, 11.1204976 44.9902642, 11.1206961 44.9900441, 11.1207014 44.989733, 11.121093 44.989733, 11.1211644 44.9894963, 11.1227184 44.9889705, 11.1232388 44.9885683, 11.1239093 44.9883938, 11.1241829 44.9908333, 11.1240488 44.9917362, 11.1214739 44.9918386))",,,,,
5,Huntsman Performance Products,,2153649083,1433082788,2,"{""industrial"":""factory"",""landuse"":""industrial"",""type"":""multipolygon""}",relation,"MULTIPOLYGON (((10.4712624 45.3965136, 10.475824243401245 45.39700073702681, 10.4755273 45.3962368, 10.474856 45.396412, 10.4745265 45.3958411, 10.4735442 45.3960725, 10.4735042 45.3960055, 10.4734672 45.395986, 10.4734056 45.3959795, 10.4712624 45.3965136)), ((10.4712624 45.3965136, 10.4719152 45.398038, 10.4724325 45.3979018, 10.4733563 45.3995213, 10.4727805 45.3997246, 10.4737254 45.4009838, 10.4739427 45.4012718, 10.4739661 45.4013073, 10.4755025 45.4006613, 10.4712624 45.3965136)), ((10.4759447 45.3970136, 10.4760391 45.3974668, 10.4761552 45.3979774, 10.476252 45.3982084, 10.4763142 45.3982419, 10.4759447 45.3970136)), ((10.4763142 45.3982419, 10.475901942889285 45.399470697405036, 10.4770573 45.399092, 10.4763142 45.3982419)))",Castiglione delle Stiviere,IT,50,Via Cavour,0.0
