,addr:city,addr:housenumber,addr:postcode,addr:street,name,operator,phone,website,id,timestamp,version,tags,osm_type,geometry
0,Reggio Emilia,4,42124,Via Giulia Maramotti Fontanesi,MaxMara Headquarter,,+39 0522 3991,,460755808,1589028466,6,"{""industrial"":""factory"",""landuse"":""industrial""}",way,"POLYGON ((10.633313 44.7330706, 10.6360144 44.7321501, 10.6339589 44.7290982, 10.631534 44.729666, 10.631622 44.7298195, 10.6313505 44.7301626, 10.633313 44.7330706))"
1,,,,,Bucher Hydraulics,,,,614124624,1533418912,1,"{""industrial"":""factory"",""landuse"":""industrial""}",way,"POLYGON ((10.6165803 44.7274545, 10.6158121 44.7273732, 10.6159 44.7269611, 10.6153716 44.7269077, 10.6151597 44.7266676, 10.6151806 44.7267098, 10.6149373 44.7267431, 10.6149187 44.7266991, 10.6147254 44.7267424, 10.6145301 44.7267979, 10.6142364 44.7269488, 10.6141652 44.7269966, 10.6142282 44.7270585, 10.614078 44.7271576, 10.6140176 44.7270918, 10.6137782 44.7272586, 10.6152119 44.7285764, 10.6157557 44.7283082, 10.6164675 44.727854, 10.6165469 44.7276666, 10.6165803 44.7274545))"
2,,,,,Ferval,Ferval S.r.l.,,https://www.ferval.com/,665499470,1548229776,1,"{""industrial"":""factory"",""landuse"":""industrial""}",way,"POLYGON ((10.6606467 44.73955, 10.6598369 44.7397885, 10.6596409 44.7398428, 10.6596409 44.7398891, 10.6593083 44.7399864, 10.6592611 44.7399497, 10.6590835 44.7400072, 10.6593487 44.740475, 10.6598342 44.7403297, 10.6600837 44.7407656, 10.6605623 44.7406258, 10.6605146 44.7405357, 10.660665 44.7404896, 10.6604673 44.7401422, 10.6607825 44.7400513, 10.6606467 44.73955))"
