,addr:city,addr:housenumber,addr:postcode,addr:street,name,website,id,timestamp,version,tags,osm_type,geometry
0,,,,,Delicarta Tassignano,,148546443,1414676782,6,"{""building"":""industrial"",""factory"":""paper"",""height"":""15"",""industrial"":""factory""}",way,"POLYGON ((10.561742 43.829184, 10.5624869 43.8291035, 10.5624775 43.8290668, 10.564283 43.828876, 10.5639456 43.8271477, 10.5644854 43.8270864, 10.564457 43.8269728, 10.5620911 43.8272319, 10.562107 43.8273085, 10.5613692 43.8273823, 10.561742 43.829184))"
1,,59,,Via Fossanuova,Soffass S.p.A. Div. Converting - Regina,,161971080,1387216626,4,"{""building"":""industrial"",""factory"":""paper"",""industrial"":""factory""}",way,"POLYGON ((10.6151342 43.8184401, 10.6174597 43.8183356, 10.6174811 43.8185504, 10.6177198 43.8194871, 10.6191226 43.8193129, 10.6190073 43.8187323, 10.6190763 43.8187229, 10.6189885 43.8181846, 10.6189671 43.8177956, 10.6188732 43.8177917, 10.618774 43.816915, 10.6162312 43.817035, 10.6161963 43.8168589, 10.6150108 43.8169247, 10.6151342 43.8184401))"
2,,,,,Fabio Perini,https://www.fabioperini.com/,162922602,1585911839,4,"{""industrial"":""factory"",""landuse"":""industrial"",""operator:wikidata"":""Q3737803"",""operator:wikipedia"":""it:Fabio Perini (azienda)""}",way,"POLYGON ((10.5208645 43.8305261, 10.520844 43.8298751, 10.5208844 43.8298541, 10.5209729 43.8297689, 10.5211312 43.8297631, 10.5211258 43.8296509, 10.5212063 43.8295484, 10.5214113 43.8295407, 10.5214077 43.8292951, 10.5225745 43.8292409, 10.5226067 43.8288617, 10.5299983 43.8287069, 10.5300483 43.828841, 10.5300735 43.8293774, 10.5300765 43.8294415, 10.529258 43.8299994, 10.5291956 43.8300361, 10.5289703 43.830098, 10.5288281 43.8301329, 10.5286725 43.8301522, 10.5234034 43.8302454, 10.5231412 43.8302547, 10.522879 43.8302896, 10.52271 43.8303225, 10.5223667 43.8304444, 10.5209166 43.8310556, 10.5208665 43.8310697, 10.5208164 43.8310681, 10.5207641 43.8310493, 10.5207314 43.8310225, 10.5206411 43.8310614, 10.5205334 43.8311044, 10.5202501 43.8307807, 10.5208645 43.8305261))"
3,Bagni di Lucca,38,55022,Strada Provinciale 56,Fibrocellulosa S.p.A.,,252126008,1564955667,2,"{""factory"":""paper"",""industrial"":""factory"",""landuse"":""industrial""}",way,"POLYGON ((10.5413571 44.0179029, 10.5416337 44.0182538, 10.5416903 44.0183509, 10.5418307 44.0184171, 10.5423591 44.0185603, 10.5426174 44.0186989, 10.5431822 44.019224, 10.5432408 44.0194048, 10.5433441 44.0196326, 10.5435438 44.0199992, 10.5438917 44.0200413, 10.5440604 44.0197713, 10.5439055 44.0194023, 10.5438641 44.0191695, 10.5440294 44.0189466, 10.5439571 44.0188822, 10.5440442 44.0188167, 10.5437443 44.0185788, 10.5430376 44.018074, 10.5428662 44.0179422, 10.5426484 44.0178544, 10.5424865 44.0180129, 10.5421559 44.0181169, 10.5417082 44.0180823, 10.5415291 44.0178569, 10.5414637 44.0178222, 10.5413729 44.0178361, 10.5413571 44.0179029))"
4,,19,,Via di Leccio,Soffass S.p.A. Div. Cartiera,,252165468,1387216602,3,"{""building"":""industrial"",""factory"":""paper"",""industrial"":""factory""}",way,"POLYGON ((10.6261747 43.8199302, 10.627575 43.8197686, 10.6276689 43.8201921, 10.6275929 43.8202009, 10.6276581 43.820495, 10.6273337 43.8205324, 10.6277697 43.8224999, 10.6270282 43.8225854, 10.6269036 43.8220232, 10.6271754 43.8219918, 10.6268634 43.8205843, 10.6263332 43.8206455, 10.6261747 43.8199302))"
5,,,,,Delicarta Porcari,,693832424,1630425170,2,"{""building"":""industrial"",""factory"":""paper"",""industrial"":""factory""}",way,"POLYGON ((10.6067276 43.8179679, 10.6065357 43.8165282, 10.6075807 43.816449, 10.6075446 43.8161797, 10.6076945 43.8161677, 10.6075984 43.815549, 10.6074471 43.8155602, 10.6073564 43.8148745, 10.609526 43.8147047, 10.6096313 43.8154057, 10.6093856 43.8154269, 10.6094119 43.8156563, 10.6090218 43.8156837, 10.6091135 43.8163319, 10.6080522 43.8164212, 10.6082196 43.8178479, 10.6067276 43.8179679))"
